ID	edad	genero	zona	grado	HHD	HHI	comp_HHD	comp_HHI	per.hog
66	14	FEMENINO	Rural	SEXTO	401	401	Uso.baño	Fruta	7
67	11	Masculino	Rural	6		802	Uso_baño	Carne	6
68	12	femenino	Rural	6	306	648	Uso.baño	Carne	
69	12	2	Urbano	SEXTO	186	382	Uso.baño	Carne	5
70	11	Femenino	Rural	6	125	1350	Uso.baño	Carne	3
71	11	Masculino	URBANO	6	83	420	Uso.baño	CARNE	5
72	12	Masculino	Urbano	sexto	97	1344	Uso.baño	Carne	3
73	12	Femenino	Urbano	sexto	217	1350	Uso.baño	Carne	8
74	15	MASCULINO	Rural	9	92	1325	Uso.baño	Carne	1
75	15	masculino	Rural	9	201	1356	Uso.baño	Carne	6
76	16	masculino	RURAL	NOVENO	109	789	Uso.baño	Carne	1
77	14	masculino	Urbano	9	111	444	Uso.baño	Carne	3
78	14	Femenino	Urbano	NOVENO	115	980	Uso.baño	Carne	5
79	14	Femenino	Urbano	9	115		Lavado.ropa	Café	2
80	15	Masculino	Urbano	9	28	611	Uso.baño	Carne	4
81	14	Femenino	Urbano	NOVENO		451	Uso.baño	Carne	5
82	14	Femenino	Urbano	9	242	1547	Uso.baño	CARNE	6
83	14	FEMENINO	RURAL	9	71	573	Uso.baño	Carne	7
84	15	Femenino	Rural	9	388	115	Uso_baño	Carne	6
85	15	Masculino	RURAL	NOVENO	19	1177	Uso.cocina	Carne	3
86	15	Femenino	Rural	NOVENO	171	1319	Uso.baño	Carne	
87	13	Femenino	Rural	9	133	1356	Uso.baño	Carne	3
88	15	Masculino	Rural	decimo	112	1356	Uso.baño	Carne	6
89	16	Masculino	Urbano	10	95	876	Uso.baño	Carne	4
90	16	1	URBANO	10	95	131	Uso.baño	Café	1
91	15	2	Urbano	decimo	277	586	Uso.baño	Carne	5
92	15	Femenino	Rural	decimo	225	1344	Uso.baño	Carne	7
93	16	FEMENINO	Urbano	10	154	1879	Uso.baño	Carne	3
94	16	2	Urbano	10	262		Uso.baño	CARNE	2
95	16	2	2	decimo	41	629	Uso.baño	Carne	3
96	16	masculino	Rural	10	178	980	Uso.baño	Carne	5
97	20	Femenino	1	decimo	51	949	Uso.baño	Carne	5
98	17	masculino	Urbano	10		51	Uso.baño	Carne	4
99	15	MASCULINO	Urbano	DECIMO	72	388	Uso.baño	Carne	2
100	16	Femenino	Urbano	10	141	758	Uso.baño	Carne	4
101	16	Femenino	URBANO	DECIMO	104	382	Uso.baño	CAFÉ	4
102	15	FEMENINO	URBANO	decimo	138	130	Uso.baño	Carne	3
103	13	Masculino	URBANO	octavo	45	457	Uso.baño	Carne	2
104	13	Masculino	2	8	79	592	Uso.baño	Carne	3
105	13	Masculino	2	8	81	1225	Uso.baño	CAFÉ	1
106	13	Masculino	Urbano	OCTAVO	152	357	Uso.baño	Carne	2
107	13	Femenino	2	OCTAVO	103	1356	Uso.baño	Carne	
108	17	1	Urbano	OCTAVO	217	12	Uso.baño	Fruta	8
109	14	1	URBANO	8	217	12	Uso.baño	Fruta	8
110	14	1	RURAL	8	325	25	Uso.baño	Fruta	102
111	14	Femenino	Urbano	8	134		Uso.baño	Carne	2
112	14	Femenino	Urbano	octavo		1152	Uso.baño	Carne	5
113	17	2	Rural	11	69	1171	Uso.baño	Carne	4
114	16	2	Urbano	11	72	1368	Uso.baño	Carne	7
115	15	femenino	Urbano	once	109	1165	Uso.baño	Carne	3
116	17	Masculino	Urbano	11	62	1177	Uso.baño	Carne	3
117	19	Masculino	Urbano	ONCE	71	1165	Uso.baño	Carne	5
118	14	femenino	1	octavo	90	1165	Uso.baño	Carne	5
119	13	femenino	Urbano	8	60	986	Uso.baño	Carne	3
120	14	masculino	Urbano	8	57	789	Uso.baño	Carne	4
